sample_idx,pearson_correlation,mse
152,0.9918420161834323,0.0016105599
153,0.9892597633484784,0.002433289
154,0.9895082089316531,0.0027606841
155,0.9881665552553281,0.0034031032
156,0.9804141626260428,0.005790035
157,0.9918818537929339,0.0040791784
158,0.9905791422739305,0.002215457
159,0.9921600400804299,0.0017097436
160,0.9889206896967169,0.0023548035
161,0.9915146409137312,0.0029515116
162,0.9913999188098208,0.0048997705
163,0.9912614350379275,0.0032838718
164,0.990187280645692,0.0035383983
165,0.9907378716677295,0.0019363648
166,0.9910576082773335,0.0034388881
167,0.9899645832100067,0.002207912
168,0.9933833341877005,0.0013456983
169,0.9929347298463652,0.0020304592
170,0.9926272263039742,0.0018673027
171,0.9887227401209415,0.00321925
172,0.9927845329281483,0.0015541085
173,0.9922361640091618,0.0017938652
174,0.9907986288252836,0.0023074236
175,0.9822358217109767,0.0035505826
176,0.9920950318923395,0.0020478081
177,0.9914423241714202,0.0017046453
178,0.9925521103501338,0.0017104835
179,0.9924396005700962,0.0022688918
180,0.992267629232315,0.002890682
181,0.9918250299970528,0.0026803121
182,0.9935830217788345,0.0014142079
183,0.9898368713990727,0.0037576903
184,0.9924561691242114,0.0017659579
185,0.9708235844039543,0.0070235105
186,0.9902362654431035,0.007942182
187,0.9924469699734584,0.0017037502
188,0.9840546983713424,0.003527138
189,0.9897774623674918,0.0023709878
190,0.9901142571720476,0.0019623237
191,0.9864809853660017,0.0031963426
192,0.9916131742573833,0.0017205395
193,0.9884709141772566,0.0029927788
194,0.9921834818692941,0.0026275895
195,0.9931171956855719,0.0014784785
196,0.992666943116998,0.002953299
197,0.9880892703256903,0.0033603301
198,0.9928775381569495,0.0014727877
199,0.9924411309732247,0.0015805477
200,0.9912849903039113,0.00216536
201,0.9903471068468281,0.006649174
202,0.9926762596031666,0.0014760497
203,0.9897724221856445,0.0023901109
204,0.9925607526321902,0.0016172896
205,0.9882723128053371,0.002539989
206,0.9901104759350327,0.0059227645
207,0.992440285146103,0.0015456297
208,0.9841280418638494,0.0038222803
209,0.9909775240146617,0.0018257344
210,0.9887957920505573,0.003735869
211,0.9917015010813964,0.0020002034
212,0.9929243494582742,0.00200737
213,0.9927577305098623,0.0051533193
214,0.9917343302082585,0.0016767185
