,Phosphatidylethanolamine,Phospholipid,Cholesterol,Cardiolipin,Sphingosine,Cholesterol ester,Dsg-Phosphatidylinositol,L-alpha-Phosphatidylinositol,L-alpha-Phosphatidylglycerol,Lyso-Phosphatidate,Phosphatidylcholine,Triglyceride,Palmitic Acid,Stearic Acid,Docosahexaenoic Acid,Omega-3 25-5,Ceramide 24-0,Ceramide 22-0,Ceramide 24-1,Phosphatidylcholine 18-1,Phosphatidylethanolamine 18-1,"Ceramide 18-1,22-0","Deoxyceramide 18-1,24-1","Deoxyceramide 18-1,16-0","Dihydroceramide 18-0,14-0"
2748.648649,368.0842775,1381.180116,51.18892961,5238.06954,75.88409712,1916.578824,1494.977902,4658.835744,682.7697521,371.4167718,4148.428859,7815.861215,6617.651731,2823.639772,1740.564562,456.082351,5981.103793,1560.671919,3994.378674,7641.622619,4503.082318,9608.526024,475.6737746,3519.319571,551.6925793
2751.651652,238.5725293,1376.231351,47.33293147,4777.49843,73.21134673,1927.587268,1374.712205,4410.328752,635.2951997,209.2988467,3958.283947,6899.992633,6264.391821,2684.497489,1714.825675,458.9285045,5840.854915,1556.59276,3628.240565,7445.047731,4346.632075,9467.460044,424.7338357,3266.68453,489.5089095
2754.654655,195.1416552,1299.868521,53.0295247,4481.969204,67.06766381,1960.539908,1399.929633,4198.827855,591.4275153,163.0549208,3694.795261,6369.126377,5940.757992,2636.389417,1810.730605,448.3255222,5401.347597,1506.348729,3226.870195,7323.577506,4274.348999,9365.735516,413.0493131,3229.657848,410.967672
2757.657658,179.5522641,1215.85714,61.21920378,4278.817657,68.90380537,1946.456213,1196.806987,4163.504915,581.3653141,175.9318939,3672.649904,5880.135593,5860.81618,2611.160002,1737.274496,580.488461,5370.982944,1391.578852,3441.883351,7162.517189,4252.698614,8997.3784,392.5053128,3099.993983,362.539655
2760.660661,106.2669654,1198.048547,53.60491155,4184.750947,70.17748892,1752.107046,1206.92256,4062.549851,567.8482044,223.4976565,3550.042438,5419.941259,5680.930423,2557.222141,1823.931038,442.3086691,5284.311522,1387.451937,3437.157149,7055.648379,4218.322445,8523.438751,433.1277751,2884.979442,375.4873455
2763.663664,177.7991582,1190.296061,47.09840281,4226.643098,72.56251346,1628.538024,1254.796992,4108.613732,568.1468072,145.7499459,3442.895553,5281.33708,5518.968293,2478.695371,1933.416283,452.551196,5060.506869,1400.370737,3493.110137,7089.782312,4154.12962,8188.44258,315.8963652,2788.667659,359.6830411
2766.666667,148.0368895,1239.19403,45.1102979,4163.246534,75.43655817,1690.949742,1306.660876,4033.586512,580.582495,136.3073411,3327.45671,5080.963034,5318.436354,2342.587319,2081.52858,458.1718358,4892.734523,1348.484616,3061.824018,7112.353113,4175.173155,7920.005141,395.8732752,2753.009204,263.2728023
2769.66967,171.4436214,1181.520494,44.84490978,4221.121473,68.63655485,1512.708236,1261.562814,3826.084713,590.5118395,175.0671081,3503.668798,5107.636509,5103.01945,2282.27892,2171.652337,608.3918368,4664.671835,1245.962366,3402.578926,7099.416859,4252.616299,7744.962328,328.7499343,2814.554255,243.1413111
2772.672673,159.8646036,1200.348638,41.21742639,4317.396726,70.83938047,1466.797999,1250.547074,3976.02045,589.4516377,241.603749,3541.938537,5091.074631,5156.323047,2246.833243,2300.146329,697.6328462,4610.715823,1232.75864,3204.770578,7145.614867,4268.015773,7767.104669,321.9388796,2803.825467,205.0246685
2775.675676,225.8799592,1216.909968,42.53356855,4453.217406,71.30226798,1403.34008,1182.262922,3937.451849,593.2554076,206.5114865,3664.199959,5055.75565,5175.669892,2229.625166,2468.72571,674.7736475,4570.820352,1259.689256,3222.721989,7226.598316,4360.071263,7845.756256,443.3471293,2835.416078,258.9967433
